iter	Passed	Remaining
432	1534	2008
433	1537	2004
434	1540	2000
435	1543	1997
436	1547	1993
437	1550	1989
438	1553	1985
439	1557	1981
440	1560	1978
441	1563	1974
442	1566	1969
443	1569	1965
444	1574	1963
445	1577	1959
446	1580	1954
447	1583	1950
448	1586	1946
449	1589	1942
450	1593	1939
451	1595	1934
452	1598	1930
453	1602	1926
454	1605	1922
455	1607	1918
456	1611	1914
457	1614	1910
458	1617	1906
459	1620	1902
460	1625	1900
461	1628	1896
462	1631	1892
463	1635	1888
464	1638	1885
465	1642	1881
466	1644	1877
467	1648	1873
468	1651	1869
469	1656	1867
470	1659	1863
471	1662	1859
472	1665	1855
473	1668	1851
474	1671	1847
475	1675	1844
476	1678	1840
477	1681	1836
478	1684	1832
479	1688	1829
480	1692	1825
481	1695	1821
482	1697	1817
483	1700	1813
484	1704	1810
485	1708	1806
486	1711	1802
487	1714	1798
488	1717	1794
489	1720	1791
490	1723	1787
491	1726	1783
492	1729	1779
493	1733	1775
494	1736	1771
495	1739	1767
496	1742	1763
497	1745	1759
498	1749	1756
499	1752	1752
500	1756	1749
501	1759	1745
502	1762	1741
503	1765	1737
504	1768	1733
505	1772	1730
506	1775	1726
507	1778	1722
508	1782	1719
509	1785	1715
510	1789	1712
511	1792	1708
512	1795	1704
513	1798	1700
514	1802	1697
515	1806	1694
516	1809	1690
517	1812	1686
518	1815	1682
519	1819	1679
520	1823	1676
521	1826	1672
522	1829	1668
523	1832	1664
524	1836	1661
525	1840	1658
526	1844	1655
527	1848	1652
528	1852	1649
529	1857	1646
530	1860	1643
531	1863	1639
532	1868	1636
533	1871	1632
534	1874	1628
535	1877	1625
536	1880	1621
537	1884	1618
538	1887	1614
539	1891	1610
540	1894	1607
541	1898	1604
542	1901	1600
543	1905	1597
544	1908	1593
545	1911	1589
546	1916	1586
547	1919	1582
548	1922	1579
549	1925	1575
550	1929	1572
551	1933	1569
552	1937	1565
553	1940	1561
554	1942	1557
555	1946	1554
556	1949	1550
557	1953	1547
558	1955	1542
559	1958	1539
560	1961	1534
561	1968	1533
562	1971	1530
563	1974	1526
564	1976	1521
565	1980	1518
566	1984	1515
567	1987	1511
568	1990	1507
569	1993	1503
570	1996	1499
571	1999	1495
572	2002	1492
573	2006	1488
574	2009	1484
575	2012	1481
576	2014	1477
577	2018	1473
578	2021	1469
579	2024	1466
580	2027	1462
581	2031	1459
582	2035	1455
583	2038	1451
584	2041	1448
585	2044	1444
586	2048	1440
587	2051	1437
588	2054	1433
589	2057	1429
590	2060	1425
591	2064	1422
592	2067	1418
593	2070	1415
594	2073	1411
595	2076	1407
596	2079	1403
597	2083	1400
598	2086	1397
599	2089	1393
600	2092	1389
601	2096	1385
602	2099	1382
603	2102	1378
604	2105	1374
605	2108	1370
606	2113	1368
607	2116	1364
608	2119	1360
609	2122	1357
610	2126	1353
611	2130	1350
612	2133	1347
613	2137	1343
614	2140	1339
615	2143	1336
616	2148	1333
617	2151	1329
618	2154	1325
619	2157	1322
620	2160	1318
621	2164	1315
622	2167	1311
623	2170	1307
624	2173	1304
625	2176	1300
626	2180	1297
627	2183	1293
628	2186	1289
629	2189	1285
630	2192	1282
631	2196	1279
632	2200	1275
633	2202	1271
634	2206	1268
635	2208	1264
636	2213	1261
637	2216	1257
638	2219	1253
639	2222	1250
640	2225	1246
641	2228	1242
642	2231	1239
643	2234	1235
644	2238	1231
645	2241	1228
646	2245	1225
647	2249	1221
648	2252	1218
649	2255	1214
650	2258	1210
651	2261	1206
652	2264	1203
653	2267	1199
654	2270	1195
655	2273	1192
656	2276	1188
657	2280	1185
658	2282	1181
659	2286	1177
660	2289	1174
661	2292	1170
662	2296	1167
663	2300	1163
664	2302	1160
665	2305	1156
666	2308	1152
667	2312	1149
668	2315	1145
669	2318	1142
670	2321	1138
671	2324	1134
672	2329	1131
673	2332	1128
674	2335	1124
675	2338	1120
676	2341	1117
677	2346	1114
678	2349	1110
679	2352	1107
680	2355	1103
681	2359	1100
682	2363	1096
683	2366	1093
684	2369	1089
685	2372	1085
686	2375	1082
687	2377	1078
688	2381	1074
689	2384	1071
690	2387	1067
691	2390	1064
692	2393	1060
693	2397	1057
694	2401	1053
695	2403	1050
696	2407	1046
697	2411	1043
698	2414	1039
699	2417	1036
700	2421	1032
701	2425	1029
702	2428	1026
703	2431	1022
704	2434	1018
705	2437	1015
706	2440	1011
707	2444	1008
708	2448	1004
709	2451	1001
710	2453	997
711	2456	993
712	2461	990
713	2464	987
714	2467	983
715	2470	979
716	2473	976
717	2478	973
718	2481	969
719	2484	966
720	2487	962
721	2492	959
722	2495	956
723	2498	952
724	2501	948
725	2504	945
726	2507	941
727	2510	937
728	2513	934
729	2516	930
730	2519	927
731	2522	923
732	2525	919
733	2528	916
734	2531	912
735	2534	909
736	2538	905
737	2541	902
738	2544	898
739	2547	895
740	2550	891
741	2554	888
742	2557	884
743	2561	881
744	2564	877
745	2567	874
746	2570	870
747	2574	867
748	2577	863
749	2580	860
750	2583	856
751	2586	853
752	2590	849
753	2593	846
754	2596	842
755	2599	838
756	2602	835
757	2606	832
758	2609	828
759	2613	825
760	2616	821
761	2619	818
762	2623	814
763	2626	811
764	2629	807
765	2633	804
766	2635	800
767	2639	797
768	2642	793
769	2645	790
770	2648	786
771	2651	782
772	2654	779
773	2656	775
774	2660	772
775	2663	768
776	2666	765
777	2669	761
778	2671	758
779	2675	754
780	2678	751
781	2681	747
782	2684	744
783	2688	740
784	2691	737
785	2695	733
786	2698	730
787	2701	726
788	2704	723
789	2708	719
790	2711	716
791	2714	712
792	2717	709
793	2721	706
794	2724	702
795	2727	699
796	2730	695
797	2733	691
798	2737	688
799	2741	685
800	2744	681
801	2747	678
802	2750	674
803	2754	671
804	2757	667
805	2760	664
806	2763	660
807	2767	657
808	2769	653
809	2772	650
810	2775	646
811	2778	643
812	2782	639
813	2784	636
814	2787	632
815	2790	629
816	2794	625
817	2797	622
818	2800	618
819	2804	615
820	2807	612
821	2810	608
822	2813	605
823	2817	601
824	2822	598
825	2825	595
826	2828	591
827	2831	588
828	2834	584
829	2838	581
830	2842	577
831	2844	574
832	2847	570
833	2850	567
834	2854	564
835	2857	560
836	2860	557
837	2863	553
838	2866	550
839	2871	546
840	2874	543
841	2877	539
842	2881	536
843	2884	533
844	2888	529
845	2891	526
846	2894	522
847	2898	519
848	2902	516
849	2905	512
850	2908	509
851	2911	505
852	2914	502
853	2917	498
854	2920	495
855	2924	491
856	2927	488
857	2930	484
858	2933	481
859	2937	478
860	2941	474
861	2944	471
862	2947	467
863	2951	464
864	2954	461
865	2958	457
866	2961	454
867	2964	450
868	2968	447
869	2971	443
870	2974	440
871	2977	436
872	2980	433
873	2983	430
874	2986	426
875	2989	423
876	2992	419
877	2995	416
878	2998	412
879	3002	409
880	3006	406
881	3009	402
882	3012	399
883	3015	395
884	3018	392
885	3021	388
886	3024	385
887	3027	381
888	3030	378
889	3033	374
890	3036	371
891	3040	368
892	3042	364
893	3045	361
894	3048	357
895	3053	354
896	3056	350
897	3058	347
898	3061	343
899	3064	340
900	3068	337
901	3072	333
902	3074	330
903	3077	326
904	3080	323
905	3083	319
906	3086	316
907	3090	313
908	3094	309
909	3097	306
910	3101	302
911	3104	299
912	3107	296
913	3110	292
914	3113	289
915	3117	285
916	3121	282
917	3124	279
918	3127	275
919	3130	272
920	3134	268
921	3137	265
922	3140	261
923	3143	258
924	3147	255
925	3150	251
926	3154	248
927	3156	244
928	3159	241
929	3162	238
930	3165	234
931	3169	231
932	3172	227
933	3175	224
934	3177	220
935	3180	217
936	3184	214
937	3187	210
938	3190	207
939	3193	203
940	3196	200
941	3200	197
942	3204	193
943	3206	190
944	3210	186
945	3213	183
946	3216	180
947	3220	176
948	3223	173
949	3226	169
950	3229	166
951	3233	163
952	3236	159
953	3239	156
954	3243	152
955	3246	149
956	3250	146
957	3253	142
958	3256	139
959	3259	135
960	3262	132
961	3266	129
962	3269	125
963	3272	122
964	3275	118
